,date,open,close,high,low,volume,code
0,2016-01-04,207.277,199.671,207.277,199.661,17349.0,600519
1,2016-01-05,199.671,202.352,203.446,197.303,31908.0,600519
2,2016-01-06,202.314,201.744,203.151,199.005,23760.0,600519
3,2016-01-07,198.711,192.283,198.711,190.191,8148.0,600519
4,2016-01-08,194.128,194.565,197.769,190.163,44510.0,600519
5,2016-01-11,193.167,190.03,193.766,189.592,29702.0,600519
6,2016-01-12,191.209,187.111,192.16,186.36,40287.0,600519
7,2016-01-13,189.307,189.954,195.868,188.832,29201.0,600519
8,2016-01-14,187.415,194.746,195.849,185.894,34776.0,600519
9,2016-01-15,194.679,189.212,196.039,188.261,26681.0,600519
10,2016-01-18,188.261,189.621,192.445,187.501,27371.0,600519
11,2016-01-19,191.114,199.899,199.985,190.172,59110.0,600519
12,2016-01-20,196.819,192.369,199.823,191.123,40968.0,600519
13,2016-01-21,191.361,190.41,194.527,190.068,21832.0,600519
14,2016-01-22,193.12,192.768,193.396,189.031,22733.0,600519
15,2016-01-25,193.015,192.797,193.481,191.589,13750.0,600519
16,2016-01-26,191.104,189.222,194.413,188.737,22280.0,600519
17,2016-01-27,190.144,190.096,191.009,186.074,29840.0,600519
18,2016-01-28,189.925,186.968,189.925,185.998,17903.0,600519
19,2016-01-29,187.767,190.781,192.54,187.31,23090.0,600519
20,2016-02-01,192.16,191.389,192.825,190.058,19178.0,600519
21,2016-02-02,192.064,194.489,194.727,190.771,17842.0,600519
22,2016-02-03,192.616,193.643,194.499,191.589,15156.0,600519
23,2016-02-04,194.727,194.907,195.754,193.529,16624.0,600519
24,2016-02-05,194.907,193.842,195.088,192.568,14227.0,600519
25,2016-02-15,190.163,190.553,193.015,189.783,19470.0,600519
26,2016-02-16,190.695,193.89,197.769,190.695,19223.0,600519
27,2016-02-17,193.719,192.35,194.841,190.648,20349.0,600519
28,2016-02-18,193.205,191.789,193.586,191.209,18892.0,600519
29,2016-02-19,191.703,193.12,193.186,191.237,14238.0,600519
30,2016-02-22,195.868,197.579,198.074,195.868,27759.0,600519
31,2016-02-23,197.551,201.962,204.406,196.838,37460.0,600519
32,2016-02-24,201.763,207.03,207.306,200.631,33129.0,600519
33,2016-02-25,208.038,201.962,209.636,201.696,39480.0,600519
34,2016-02-26,202.619,206.175,208.466,200.869,28332.0,600519
35,2016-02-29,208.219,204.339,210.016,196.628,47712.0,600519
36,2016-03-01,205.338,207.677,209.464,200.051,34004.0,600519
37,2016-03-02,208.228,213.192,214.409,207.915,47942.0,600519
38,2016-03-03,213.933,216.605,220.57,210.757,40193.0,600519
39,2016-03-04,215.721,227.035,228.348,213.943,85838.0,600519
40,2016-03-07,226.398,222.148,228.195,219.686,39345.0,600519
41,2016-03-08,221.825,217.936,221.825,215.835,26147.0,600519
42,2016-03-09,215.835,216.253,221.207,214.979,16402.0,600519
43,2016-03-10,217.727,216.843,222.205,216.786,25727.0,600519
44,2016-03-11,215.397,216.833,220.475,214.409,16320.0,600519
45,2016-03-14,219.41,213.524,222.015,211.271,45277.0,600519
46,2016-03-15,213.743,220.513,222.861,213.306,36356.0,600519
47,2016-03-16,218.896,217.366,221.064,213.933,24250.0,600519
48,2016-03-17,218.687,218.269,222.586,217.071,28820.0,600519
49,2016-03-18,220.589,214.884,220.836,214.675,70568.0,600519
50,2016-03-21,215.512,220.57,220.608,215.502,38547.0,600519
51,2016-03-22,220.836,222.956,226.465,220.113,41766.0,600519
52,2016-03-23,223.632,223.413,225.343,221.235,21412.0,600519
53,2016-03-24,223.441,230.725,233.33,219.923,62068.0,600519
54,2016-03-25,230.572,232.93,237.504,229.165,44756.0,600519
55,2016-03-28,232.93,237.304,240.917,232.93,48337.0,600519
56,2016-03-29,237.323,235.907,238.654,232.417,36688.0,600519
57,2016-03-30,236.753,236.429,238.084,233.406,27782.0,600519
58,2016-03-31,237.551,235.46,237.989,234.842,19457.0,600519
59,2016-04-01,236.705,233.035,238.169,232.512,25146.0,600519
60,2016-04-05,231.048,233.444,235.327,231.048,25047.0,600519
61,2016-04-06,233.71,244.559,244.93,233.71,48424.0,600519
62,2016-04-07,244.255,241.611,244.816,240.195,25536.0,600519
63,2016-04-08,239.605,237.57,243.304,235.992,23156.0,600519
64,2016-04-11,238.179,231.732,242.629,231.523,119284.0,600519
65,2016-04-12,231.713,232.873,232.949,230.192,23339.0,600519
66,2016-04-13,233.33,230.325,236.401,229.812,54274.0,600519
67,2016-04-14,230.458,230.82,232.788,229.146,28664.0,600519
68,2016-04-15,230.706,232.854,232.93,229.336,19029.0,600519
69,2016-04-18,230.858,231.694,233.9,230.572,18593.0,600519
70,2016-04-19,232.56,231.219,233.13,229.574,14236.0,600519
71,2016-04-20,231.229,226.712,232.379,224.202,33708.0,600519
72,2016-04-21,228.671,228.547,230.382,226.579,29672.0,600519
73,2016-04-22,229.146,235.231,235.688,228.547,35459.0,600519
74,2016-04-25,234.965,232.493,235.897,231.333,24990.0,600519
75,2016-04-26,232.902,231.866,234.737,231.048,15156.0,600519
76,2016-04-27,232.474,232.835,233.406,231.514,13915.0,600519
77,2016-04-28,233.739,234.319,234.604,231.999,17156.0,600519
78,2016-04-29,235.222,238.845,240.014,235.222,46079.0,600519
79,2016-05-03,238.226,247.212,249.38,238.226,56474.0,600519
